	T1	T2	smtsd	lib_size
SRR656946	13.334644	36.418934	Adipose - Subcutaneous	172215.88140533664
SRR665538	7.9823103	19.636993	Adipose - Subcutaneous	189261.53458761863
SRR658081	6.207928	29.256079	Adipose - Subcutaneous	180064.63709467975
SRR660510	17.320154	29.418465	Adipose - Subcutaneous	173554.9120746628
SRR1430066	16.665964	27.659237	Adipose - Subcutaneous	176660.84421527386
SRR1326270	14.722658	29.346766	Adipose - Subcutaneous	177885.1942420294
SRR1413541	10.858746	37.82431	Adipose - Subcutaneous	165690.589640375
SRR1383699	9.597654	22.84934	Adipose - Subcutaneous	185629.5462508981
SRR1309160	16.964611	34.48096	Adipose - Subcutaneous	168755.62620113452
SRR2157314	2.7447696	18.704784	Adipose - Subcutaneous	201328.71756339388
SRR599313	-1.9060684	71.082726	Adipose - Subcutaneous	182774.71261050878
SRR1077038	14.151803	30.119816	Adipose - Subcutaneous	175731.19939222973
SRR1069097	10.541204	35.43098	Adipose - Subcutaneous	170882.86861000909
SRR665586	7.502348	17.819595	Adipose - Subcutaneous	198110.47567455232
SRR1417342	10.106614	37.766037	Adipose - Subcutaneous	163518.10367181757
SRR663783	14.383503	34.06481	Adipose - Subcutaneous	171291.80150612135
SRR1347166	11.214773	26.625866	Adipose - Subcutaneous	180417.70817044523
SRR1432518	13.127997	31.934904	Adipose - Subcutaneous	175821.7861577047
SRR1351347	13.059552	22.028069	Adipose - Subcutaneous	182486.6703280962
SRR1429678	5.9733334	29.129753	Adipose - Subcutaneous	177845.98580522073
SRR663076	6.992674	31.75729	Adipose - Subcutaneous	176081.3142907004
SRR1452033	6.638393	27.41611	Adipose - Subcutaneous	180708.54866961064
SRR813776	11.583972	24.104803	Adipose - Subcutaneous	182247.88010145916
SRR1314873	3.9441793	28.05644	Adipose - Subcutaneous	178324.56545565993
SRR1378885	11.826934	24.005127	Adipose - Subcutaneous	178680.06310140304
SRR2167710	2.7521193	18.707283	Adipose - Subcutaneous	197092.9489531496
SRR613927	17.650171	38.77246	Adipose - Subcutaneous	164321.11196578576
SRR614419	4.490309	31.228092	Adipose - Subcutaneous	175800.93262501422
SRR1091380	18.712048	37.163647	Adipose - Subcutaneous	162015.6862957666
SRR1385501	14.8683195	32.411938	Adipose - Subcutaneous	170745.0069428828
SRR661267	7.980084	22.06095	Adipose - Subcutaneous	185600.30563394955
SRR1488610	10.089966	36.58141	Adipose - Subcutaneous	170116.14527256996
SRR1468271	9.363759	33.73129	Adipose - Subcutaneous	171299.56148735023
SRR1465893	6.7152033	25.874428	Adipose - Subcutaneous	181405.52819445886
SRR1315931	6.9051366	23.349665	Adipose - Subcutaneous	186832.4576563413
SRR1319731	6.7373247	24.262636	Adipose - Subcutaneous	185263.9407503618
SRR1326579	9.075474	26.010065	Adipose - Subcutaneous	181767.00219607976
SRR1475566	6.2246327	33.092373	Adipose - Subcutaneous	172942.55557238607
SRR1499174	4.9275475	25.550966	Adipose - Subcutaneous	181388.87688962033
SRR1409374	7.6209474	28.117226	Adipose - Subcutaneous	181314.07602310076
SRR1408471	11.638047	23.539371	Adipose - Subcutaneous	182862.00930713845
SRR817329	8.47983	23.940935	Adipose - Subcutaneous	183843.5150964163
SRR1347060	13.32408	22.171724	Adipose - Subcutaneous	184419.89858858119
SRR654730	12.111437	28.173038	Adipose - Subcutaneous	180217.7051332513
SRR1380393	7.312101	34.410587	Adipose - Subcutaneous	172868.9025049483
SRR1437119	6.2831783	23.708984	Adipose - Subcutaneous	187223.28027954648
SRR1403005	12.474382	23.10609	Adipose - Subcutaneous	179213.6286316031
SRR1499894	13.60757	23.085129	Adipose - Subcutaneous	180961.773781568
SRR1379495	6.244883	28.3297	Adipose - Subcutaneous	179866.450797871
SRR1455038	4.413874	35.52896	Adipose - Subcutaneous	175206.69406559673
SRR1399971	8.558897	37.843674	Adipose - Subcutaneous	165713.01686828444
SRR1370329	5.6770725	34.095448	Adipose - Subcutaneous	175943.72767628686
SRR661735	2.315011	75.586395	Adipose - Subcutaneous	195631.81646121555
SRR821715	10.306366	21.168943	Adipose - Subcutaneous	187759.84420766044
SRR613639	-29.594673	15.3394375	Adipose - Subcutaneous	151853.89364518377
SRR1465459	15.726056	30.65922	Adipose - Subcutaneous	173683.59371950285
SRR809161	15.759128	34.789635	Adipose - Subcutaneous	169915.45182677792
SRR1334098	18.44767	29.868534	Adipose - Subcutaneous	172235.46246668397
SRR812943	4.841268	25.564714	Adipose - Subcutaneous	183905.5916815642
SRR1377423	14.662847	28.193031	Adipose - Subcutaneous	175858.51967239802
SRR1361652	11.578207	38.679073	Adipose - Subcutaneous	162109.833023793
SRR1338147	14.354043	24.109457	Adipose - Subcutaneous	180221.98641658184
SRR1501020	14.350084	28.409163	Adipose - Subcutaneous	177176.4728951017
SRR1315081	20.901062	33.046406	Adipose - Subcutaneous	167998.15652430034
SRR2164707	2.8058712	18.73773	Adipose - Subcutaneous	191715.2180222927
SRR1488960	6.1046185	31.79135	Adipose - Subcutaneous	174690.44198824675
SRR1447564	5.0993104	30.814404	Adipose - Subcutaneous	177183.31784807442
SRR612863	10.142412	33.183193	Adipose - Subcutaneous	171936.1313810621
SRR1452935	13.260404	32.561405	Adipose - Subcutaneous	170786.12885323094
SRR1099072	15.314176	30.44094	Adipose - Subcutaneous	175732.49544698186
SRR1082173	12.6617985	30.41453	Adipose - Subcutaneous	174658.83668158384
SRR1319903	16.627686	33.25598	Adipose - Subcutaneous	169138.57924642068
SRR1345609	4.0168934	27.846111	Adipose - Subcutaneous	180776.9507077266
SRR1486762	20.270668	30.038832	Adipose - Subcutaneous	169791.82374318875
SRR1362866	8.849397	25.358688	Adipose - Subcutaneous	185405.22918080137
SRR1085285	15.205815	29.522928	Adipose - Subcutaneous	176043.8638516192
SRR1395575	17.695946	33.159744	Adipose - Subcutaneous	170491.86200093766
SRR1490740	4.4890733	33.651066	Adipose - Subcutaneous	173722.99415151888
SRR1433004	4.4564843	35.108967	Adipose - Subcutaneous	174184.75405209424
SRR813824	11.942163	22.39056	Adipose - Subcutaneous	184781.45558867246
SRR1405331	11.7650175	34.048164	Adipose - Subcutaneous	175678.14350777626
SRR1361522	3.8532865	29.35887	Adipose - Subcutaneous	177885.37842113723
SRR1442464	11.710768	26.829834	Adipose - Subcutaneous	180910.65087104717
SRR1415398	16.446089	31.429028	Adipose - Subcutaneous	169035.7734656782
SRR1082883	11.809227	26.855654	Adipose - Subcutaneous	177895.74430898586
SRR1082376	9.639248	22.787506	Adipose - Subcutaneous	183902.71634007216
