x	Counts
ENSG00000000003.14	39734616
ENSG00000000005.5	931674
ENSG00000000419.12	21644707
ENSG00000000457.13	15036353
ENSG00000000460.16	10767331
ENSG00000000938.12	7691823
ENSG00000000971.15	80801668
ENSG00000001036.13	43178543
ENSG00000001084.10	43045625
ENSG00000001167.14	23675962
ENSG00000001460.17	8695007
ENSG00000001461.16	36626320
ENSG00000001497.16	31035504
ENSG00000001561.6	17826800
ENSG00000001617.11	46935813
ENSG00000001626.14	15847425
ENSG00000001629.9	42083631
ENSG00000001630.15	53144842
ENSG00000001631.15	22485729
ENSG00000002016.17	5725183
ENSG00000002079.12	296305
ENSG00000002330.13	29500069
ENSG00000002549.12	65277123
ENSG00000002586.18	131299142
ENSG00000002586.18_PAR_Y	0
ENSG00000002587.9	10638739
ENSG00000002726.20	38002336
ENSG00000002745.12	521020
ENSG00000002746.14	1759574
ENSG00000002822.15	22959570
ENSG00000002834.17	182333312
ENSG00000002919.14	16458486
ENSG00000002933.7	74709628
ENSG00000003056.7	75157498
ENSG00000003096.13	7756419
ENSG00000003137.8	5942701
ENSG00000003147.17	20138489
ENSG00000003249.13	20207967
ENSG00000003393.14	17825329
ENSG00000003400.14	12989473
ENSG00000003402.19	77586931
ENSG00000003436.14	38358355
ENSG00000003509.15	9539119
ENSG00000003756.16	58569389
ENSG00000003987.13	2438435
ENSG00000003989.16	50626399
ENSG00000004059.10	91517097
ENSG00000004139.13	32185977
ENSG00000004142.11	75310289
ENSG00000004399.12	82958744
ENSG00000004455.16	63928589
ENSG00000004468.12	11951347
ENSG00000004478.7	124808003
ENSG00000004487.15	61399044
ENSG00000004534.14	47416825
ENSG00000004660.14	9400421
ENSG00000004700.15	30938899
ENSG00000004766.15	15621553
ENSG00000004776.11	41402611
ENSG00000004777.18	10536421
ENSG00000004779.9	33306387
ENSG00000004799.7	83244536
ENSG00000004809.13	458124
ENSG00000004838.13	4371532
ENSG00000004846.16	3292576
ENSG00000004848.7	1243118
ENSG00000004864.13	24809443
ENSG00000004866.19	21960812
ENSG00000004897.11	36788311
ENSG00000004939.13	7959189
ENSG00000004948.13	476174
ENSG00000004961.14	14928667
ENSG00000004975.11	23904511
ENSG00000005001.9	11230552
ENSG00000005007.12	89056488
ENSG00000005020.12	28341593
ENSG00000005022.5	194399786
ENSG00000005059.15	10984686
ENSG00000005073.5	3254589
ENSG00000005075.15	29484006
ENSG00000005100.12	18074495
ENSG00000005102.12	2716315
ENSG00000005108.15	8327728
ENSG00000005156.11	34731407
ENSG00000005175.9	17880808
ENSG00000005187.11	13908448
ENSG00000005189.19	4081902
